Geometry,County,Total cases,Total deaths,Cases this week,Deaths this week,"Cases this week per 100,000","Deaths this week per 100,000",Change in cases this week,Positivity rate this week,Community transmission level,Population,"Total cases per 100,000","Total deaths per 100,000"
"{""type"":""Polygon"",""coordinates"":[[[-86.881182,33.049901],[-86.881638,33.071861],[-86.824835,33.068529999999996],[-86.61000299999999,33.070003],[-86.616435,33.053858999999996],[-86.60403199999999,33.055085999999996],[-86.598271,33.046245],[-86.567487,33.027417],[-86.563261,33.01954],[-86.53685899999999,33.024433],[-86.517344,33.020565999999995],[-86.522283,33.004394999999995],[-86.510622,32.98538],[-86.51811699999999,32.971181],[-86.515959,32.929361],[-86.503991,32.912295],[-86.490511,32.905619],[-86.480222,32.87435],[-86.45152399999999,32.863692],[-86.447628,32.851129],[-86.460691,32.833464],[-86.457015,32.813899],[-86.445005,32.813345],[-86.443834,32.804482],[-86.427238,32.791706999999995],[-86.41340199999999,32.788182],[-86.396737,32.762946],[-86.374974,32.75358],[-86.371118,32.750627],[-86.41333499999999,32.750591],[-86.413116,32.707386],[-86.714219,32.705694],[-86.71338999999999,32.661732],[-86.816574,32.660117],[-86.91759499999999,32.664169],[-87.01765999999999,32.663269],[-87.01776199999999,32.729532],[-87.01915699999999,32.837033999999996],[-86.95203099999999,32.837826],[-86.87611799999999,32.836264],[-86.87686599999999,33.049925],[-86.881182,33.049901]]]}",Chilton County,12792,216,29,0,65.3,0,-47.3%,15.5%,HIGH,45014,28418,480
"{""type"":""Polygon"",""coordinates"":[[[-88.43137899999999,32.227666],[-88.421453,32.308679999999995],[-88.317483,32.307656],[-88.20911199999999,32.307573999999995],[-88.005241,32.309322],[-87.930661,32.310573999999995],[-87.92824999999999,32.287842999999995],[-87.944645,32.282953],[-87.936757,32.301663999999995],[-87.948354,32.304089999999995],[-87.96789299999999,32.298249],[-87.975667,32.307848],[-87.991395,32.294615],[-88.007316,32.293197],[-88.00422499999999,32.283687],[-88.019145,32.28524],[-88.02012099999999,32.271769],[-88.009453,32.261704],[-88.01505,32.23494],[-88.00752299999999,32.219319],[-88.012536,32.200826],[-88.007077,32.185313],[-88.02136899999999,32.14495],[-88.03581199999999,32.14501],[-88.05220299999999,32.10177],[-88.044715,32.082256],[-88.07061499999999,32.0617],[-88.08477099999999,32.070824],[-88.09589,32.069846999999996],[-88.118344,32.051128999999996],[-88.113399,32.041176],[-88.11743299999999,32.016819999999996],[-88.113584,32.00624],[-88.09507099999999,31.993077999999997],[-88.09209299999999,32.00705],[-88.07348999999999,31.990181999999997],[-88.070763,31.958644999999997],[-88.080913,31.953908],[-88.09667499999999,31.965018999999998],[-88.121414,31.950256],[-88.117209,31.939283],[-88.102291,31.939992999999998],[-88.088087,31.921930999999997],[-88.067717,31.936905],[-88.055872,31.928365999999997],[-88.059527,31.920308],[-88.077033,31.921815],[-88.088645,31.910774999999997],[-88.12943399999999,31.904936],[-88.141987,31.864359999999998],[-88.158366,31.853510999999997],[-88.161945,31.840802999999998],[-88.18038399999999,31.814546],[-88.165275,31.788971],[-88.158583,31.766137999999998],[-88.142624,31.752491],[-88.122025,31.760773999999998],[-88.104918,31.760797999999998],[-88.093383,31.737523999999997],[-88.08828799999999,31.699302999999997],[-88.125008,31.698756999999997],[-88.46443,31.697951999999997],[-88.473227,31.893856],[-88.43137899999999,32.227666]]]}",Choctaw County,2232,39,5,0,40.3,0,-37.5%,28.6%,HIGH,12665,17623,308
"{""type"":""Polygon"",""coordinates"":[[[-88.08828799999999,31.699302999999997],[-88.093383,31.737523999999997],[-88.104918,31.760797999999998],[-88.122025,31.760773999999998],[-88.142624,31.752491],[-88.158583,31.766137999999998],[-88.165275,31.788971],[-88.18038399999999,31.814546],[-88.161945,31.840802999999998],[-88.158366,31.853510999999997],[-88.141987,31.864359999999998],[-88.12943399999999,31.904936],[-88.088645,31.910774999999997],[-88.077033,31.921815],[-88.059527,31.920308],[-88.055872,31.928365999999997],[-88.067717,31.936905],[-88.088087,31.921930999999997],[-88.102291,31.939992999999998],[-88.117209,31.939283],[-88.121414,31.950256],[-88.09667499999999,31.965018999999998],[-88.080913,31.953908],[-88.070763,31.958644999999997],[-88.07348999999999,31.990181999999997],[-87.935817,31.989911],[-87.865501,31.990564],[-87.750005,31.990109999999998],[-87.66776899999999,31.991355],[-87.66683599999999,31.875746999999997],[-87.633032,31.876039],[-87.62095099999999,31.870395],[-87.62011199999999,31.827123],[-87.50093,31.829251],[-87.500953,31.814017999999997],[-87.518363,31.814386],[-87.516131,31.697823999999997],[-87.566841,31.697115],[-87.56541299999999,31.553573],[-87.599256,31.527441],[-87.619844,31.519049],[-87.620425,31.51223],[-87.605064,31.500162],[-87.565708,31.481683],[-87.56336,31.464696],[-87.574727,31.433826999999997],[-87.60313699999999,31.409556],[-87.622706,31.410736999999997],[-87.63964899999999,31.424768],[-87.665572,31.423166],[-87.685531,31.407556],[-87.70604499999999,31.400957],[-87.714637,31.384148999999997],[-87.725837,31.373741],[-87.722758,31.343621],[-87.729509,31.336585999999997],[-87.746399,31.333261],[-87.753579,31.340559],[-87.754542,31.362326999999997],[-87.76523,31.362244999999998],[-87.765247,31.348782],[-87.784796,31.324672],[-87.778594,31.305737999999998],[-87.765152,31.297345999999997],[-87.77158,31.293719],[-87.795633,31.302736999999997],[-87.80559099999999,31.318694999999998],[-87.808973,31.306638],[-87.785775,31.282943999999997],[-87.785523,31.275789999999997],[-87.801502,31.269811999999998],[-87.818219,31.278623],[-87.828313,31.275304],[-87.833698,31.259076],[-87.849284,31.260006999999998],[-87.837105,31.247253999999998],[-87.844628,31.239334999999997],[-87.83592,31.231053],[-87.86006599999999,31.235400000000002],[-87.863593,31.226111999999997],[-87.848503,31.208378],[-87.859946,31.204632999999998],[-87.86977399999999,31.215764999999998],[-87.879167,31.197996],[-87.88958099999999,31.204348999999997],[-87.90623699999999,31.199161999999998],[-87.913637,31.187355999999998],[-87.925679,31.186123],[-87.94658799999999,31.192929999999997],[-87.94841,31.206822],[-87.931333,31.224553999999998],[-87.944034,31.244290999999997],[-87.96337799999999,31.250170999999998],[-87.96922699999999,31.25836],[-87.986228,31.259757999999998],[-87.975734,31.269724999999998],[-87.95511499999999,31.267744999999998],[-87.957383,31.279646999999997],[-87.947507,31.296272],[-87.964725,31.311186],[-87.95961899999999,31.316205999999998],[-87.924525,31.312907],[-87.923226,31.334567999999997],[-87.910117,31.334061],[-87.908068,31.323041],[-87.888857,31.364023],[-87.88945299999999,31.387931],[-87.898003,31.381079999999997],[-87.90366399999999,31.388402],[-87.918638,31.389633],[-87.91729099999999,31.376734],[-87.94510299999999,31.378792999999998],[-87.927705,31.396568],[-87.912066,31.394527999999998],[-87.907342,31.406067999999998],[-87.927818,31.407842],[-87.91113899999999,31.424401999999997],[-87.93510599999999,31.442397999999997],[-87.91544999999999,31.449766],[-87.919088,31.467140999999998],[-87.907399,31.494438],[-87.92443999999999,31.503020999999997],[-87.942514,31.526719],[-87.970377,31.530545999999998],[-87.98175599999999,31.538901],[-88.018627,31.552366],[-88.040058,31.572260999999997],[-88.023349,31.570916999999998],[-88.01777799999999,31.576511999999997],[-88.027693,31.584251],[-88.05144899999999,31.583503999999998],[-88.072234,31.5945],[-88.07996299999999,31.605771999999998],[-88.07426099999999,31.616381999999998],[-88.083974,31.630319999999998],[-88.089388,31.658746999999998],[-88.078863,31.662554999999998],[-88.08828799999999,31.699302999999997]]]}",Clarke County,8415,107,32,0,137.4,0,-23.8%,18.8%,HIGH,23087,36449,463
"{""type"":""Polygon"",""coordinates"":[[[-85.85189,33.498742],[-85.85242099999999,33.491644],[-85.86930799999999,33.491574],[-85.870053,33.476757],[-85.887675,33.476768],[-85.887782,33.469426999999996],[-85.782735,33.469349],[-85.78268899999999,33.483638],[-85.765631,33.483477],[-85.765427,33.498593],[-85.64348199999999,33.495885],[-85.644491,33.430006],[-85.649915,33.324211],[-85.641132,33.323932],[-85.641435,33.305959],[-85.650466,33.306154],[-85.65308,33.212117],[-85.653654,33.106634],[-85.801694,33.104298],[-85.97471499999999,33.105286],[-85.97456,33.090506999999995],[-86.00917,33.09026],[-86.00931299999999,33.104642],[-86.17437,33.104394],[-86.17282999999999,33.195681],[-86.120567,33.194511],[-86.11819799999999,33.29632],[-85.980293,33.29419],[-85.976525,33.38187],[-85.941262,33.381749],[-85.94087499999999,33.396054],[-85.923762,33.396206],[-85.922817,33.454575999999996],[-85.905338,33.45471],[-85.90490899999999,33.498655],[-85.85189,33.498742]]]}",Clay County,5050,92,25,0,190.7,0,8.7%,26.4%,HIGH,14236,35473,646
"{""type"":""Polygon"",""coordinates"":[[[-85.53009399999999,33.941423],[-85.49582,33.942394],[-85.495289,33.95691],[-85.42562699999999,33.957069],[-85.398837,33.964129],[-85.38658099999999,33.901719],[-85.33823,33.653117],[-85.304439,33.482884],[-85.354491,33.498866],[-85.35257299999999,33.492438],[-85.468442,33.494543],[-85.64348199999999,33.495885],[-85.765427,33.498593],[-85.765631,33.483477],[-85.78268899999999,33.483638],[-85.782735,33.469349],[-85.887782,33.469426999999996],[-85.887675,33.476768],[-85.870053,33.476757],[-85.86930799999999,33.491574],[-85.85242099999999,33.491644],[-85.85189,33.498742],[-85.796852,33.541849],[-85.796054,33.556219999999996],[-85.744118,33.556075],[-85.742308,33.600006],[-85.72451699999999,33.59943],[-85.724953,33.613538999999996],[-85.689954,33.612909],[-85.69068399999999,33.627789],[-85.65581,33.627165999999995],[-85.64703999999999,33.648772],[-85.638579,33.648413],[-85.638049,33.773339],[-85.621245,33.773508],[-85.62089,33.787943999999996],[-85.60346899999999,33.787755],[-85.603391,33.802344],[-85.585985,33.802095],[-85.585201,33.84592],[-85.637126,33.846497],[-85.637014,33.875944],[-85.601899,33.874865],[-85.601858,33.88975],[-85.532482,33.889151999999996],[-85.53009399999999,33.941423]]]}",Cleburne County,4316,71,12,0,80.2,0,-52%,34.6%,HIGH,15056,28666,472
"{""type"":""Polygon"",""coordinates"":[[[-86.145895,31.617741],[-85.99994799999999,31.619311],[-85.789142,31.617963999999997],[-85.78913899999999,31.500170999999998],[-85.79033799999999,31.443768],[-85.789594,31.372698],[-85.791208,31.293471999999998],[-85.79140199999999,31.196348999999998],[-85.999042,31.195777],[-86.12548199999999,31.192753999999997],[-86.19347599999999,31.192213],[-86.193336,31.250169],[-86.196365,31.425431],[-86.193951,31.440071999999997],[-86.194784,31.529949],[-86.156561,31.530203],[-86.14394999999999,31.537675],[-86.145895,31.617741]]]}",Coffee County,16683,243,76,0,142.8,0,-14.6%,36.2%,HIGH,53465,31204,455
"{""type"":""Polygon"",""coordinates"":[[[-87.42651,34.800022],[-87.426155,34.786411],[-87.43439099999999,34.773613999999995],[-87.416484,34.767544],[-87.42785099999999,34.751906999999996],[-87.42249799999999,34.741],[-87.432429,34.737134999999995],[-87.43306,34.717484999999996],[-87.426175,34.709601],[-87.44995,34.696804],[-87.45335899999999,34.686468],[-87.44312099999999,34.675214],[-87.449765,34.64891],[-87.459496,34.644349],[-87.476249,34.651309999999995],[-87.484282,34.645675],[-87.476822,34.637798],[-87.507044,34.615559999999995],[-87.51391199999999,34.59476],[-87.507342,34.586490999999995],[-87.518558,34.577481999999996],[-87.51761499999999,34.566271],[-87.52966699999999,34.567081],[-87.75003199999999,34.571912],[-87.952122,34.575114],[-88.139988,34.581703],[-88.11840699999999,34.724292],[-88.097888,34.892202],[-88.072453,34.896733999999995],[-88.050792,34.90618],[-88.031275,34.904241999999996],[-87.99456099999999,34.888649],[-87.97322199999999,34.88255],[-87.9495,34.864471],[-87.937212,34.847364999999996],[-87.927634,34.816658],[-87.92029,34.804468],[-87.86131499999999,34.762983],[-87.835833,34.741239],[-87.806963,34.732061],[-87.7603,34.735578],[-87.733718,34.745229],[-87.707572,34.772919],[-87.668471,34.782609],[-87.643396,34.792846],[-87.613694,34.79903],[-87.589485,34.810739999999996],[-87.584746,34.819188],[-87.54629,34.830431],[-87.524363,34.832384],[-87.508997,34.823122],[-87.47996599999999,34.812626],[-87.44998,34.808279999999996],[-87.42651,34.800022]]]}",Colbert County,20658,276,84,0,151.6,0,-27.6%,18.9%,HIGH,57227,36098,482
"{""type"":""Polygon"",""coordinates"":[[[-86.90589899999999,31.753034999999997],[-86.906769,31.632671],[-86.893959,31.616339999999997],[-86.888106,31.592207],[-86.87456499999999,31.577993],[-86.86630199999999,31.546981],[-86.83938599999999,31.525204],[-86.80362699999999,31.52386],[-86.701554,31.523946],[-86.70121999999999,31.436640999999998],[-86.67484999999999,31.436556999999997],[-86.665825,31.392073],[-86.67544199999999,31.389000999999997],[-86.667245,31.369404],[-86.692516,31.347479],[-86.702446,31.345397],[-86.701139,31.324358],[-86.700282,31.192217],[-86.72108899999999,31.190983],[-86.71665,31.184873999999997],[-86.737189,31.187358],[-86.738743,31.194647],[-86.756671,31.193157999999997],[-86.76351199999999,31.181133],[-86.762979,31.196457],[-86.772519,31.202243],[-86.763763,31.220463],[-86.772263,31.250655],[-86.763961,31.261293],[-86.84320199999999,31.261996999999997],[-86.99996999999999,31.261038],[-87.249977,31.260512],[-87.427455,31.260385999999997],[-87.420796,31.276519999999998],[-87.39320599999999,31.300853],[-87.359763,31.317746999999997],[-87.346527,31.349622999999998],[-87.332179,31.355251],[-87.318568,31.377852999999998],[-87.29672099999999,31.401277999999998],[-87.27564,31.410345],[-87.269013,31.420208],[-87.243826,31.438685999999997],[-87.227797,31.454362999999997],[-87.208551,31.457285],[-87.166581,31.519561],[-87.167733,31.534800999999998],[-87.160629,31.547472],[-87.158925,31.566139999999997],[-87.14512599999999,31.587168],[-87.1374,31.614445999999997],[-87.13505099999999,31.642417],[-87.104719,31.651778999999998],[-87.091352,31.652262999999998],[-87.07833099999999,31.666342999999998],[-87.055967,31.677380999999997],[-87.060954,31.704848],[-87.052284,31.716760999999998],[-87.024141,31.712559],[-86.989524,31.718225999999998],[-86.979895,31.726179],[-86.948725,31.734883],[-86.933897,31.746157999999998],[-86.90589899999999,31.753034999999997]]]}",Conecuh County,3484,76,11,0,92.8,0,-21.4%,5.9%,SUBSTANTIAL,11597,30042,655
"{""type"":""Polygon"",""coordinates"":[[[-86.00917,33.09026],[-86.007187,32.754984],[-86.31948,32.753698],[-86.319163,32.767837],[-86.336694,32.76813],[-86.33676799999999,32.753783],[-86.374974,32.75358],[-86.396737,32.762946],[-86.41340199999999,32.788182],[-86.427238,32.791706999999995],[-86.443834,32.804482],[-86.445005,32.813345],[-86.457015,32.813899],[-86.460691,32.833464],[-86.447628,32.851129],[-86.45152399999999,32.863692],[-86.480222,32.87435],[-86.490511,32.905619],[-86.503991,32.912295],[-86.515959,32.929361],[-86.51811699999999,32.971181],[-86.510622,32.98538],[-86.522283,33.004394999999995],[-86.517344,33.020565999999995],[-86.520061,33.056987],[-86.50602599999999,33.067748],[-86.512106,33.085876],[-86.491029,33.102944],[-86.381599,33.102989],[-86.17437,33.104394],[-86.00931299999999,33.104642],[-86.00917,33.09026]]]}",Coosa County,3698,64,4,0,37.6,0,-69.2%,7.9%,MODERATE,10387,35602,616
"{""type"":""Polygon"",""coordinates"":[[[-86.193951,31.440071999999997],[-86.196365,31.425431],[-86.193336,31.250169],[-86.19347599999999,31.192213],[-86.192948,31.119152],[-86.190355,31.003061],[-86.187246,30.994021],[-86.388646,30.994180999999998],[-86.520196,30.993257999999997],[-86.563436,30.995223],[-86.688317,30.994507],[-86.70022,31.000418],[-86.700282,31.192217],[-86.701139,31.324358],[-86.702446,31.345397],[-86.692516,31.347479],[-86.667245,31.369404],[-86.67544199999999,31.389000999999997],[-86.665825,31.392073],[-86.67484999999999,31.436556999999997],[-86.70121999999999,31.436640999999998],[-86.701554,31.523946],[-86.574692,31.524015],[-86.499213,31.525330999999998],[-86.41538299999999,31.525571999999997],[-86.39994,31.527127999999998],[-86.398536,31.451324999999997],[-86.3703,31.473689],[-86.364659,31.486732],[-86.340037,31.486919],[-86.3306,31.500950999999997],[-86.31964099999999,31.505042999999997],[-86.298887,31.528496999999998],[-86.280155,31.528509999999997],[-86.278196,31.514771999999997],[-86.277031,31.455602],[-86.260189,31.455716],[-86.261876,31.441167999999998],[-86.193951,31.440071999999997]]]}",Covington County,11492,257,49,0,132.7,0,-33.8%,6.4%,HIGH,37570,30588,684
"{""type"":""Polygon"",""coordinates"":[[[-86.44819799999999,31.964629],[-86.405005,31.963775],[-86.406047,32.036819],[-86.396357,32.036985],[-86.40627599999999,32.050731],[-86.30361599999999,32.051663999999995],[-86.302217,31.965065],[-86.191379,31.966452999999998],[-86.185796,31.962607],[-86.179802,31.935948],[-86.17496899999999,31.930597],[-86.173091,31.893143],[-86.182307,31.870286999999998],[-86.186224,31.838722999999998],[-86.182949,31.83239],[-86.19940799999999,31.807861],[-86.199378,31.79045],[-86.14833899999999,31.790951],[-86.146975,31.757647],[-86.14714699999999,31.663149999999998],[-86.160056,31.660234],[-86.15888199999999,31.64754],[-86.178677,31.628190999999998],[-86.179672,31.616414],[-86.145895,31.617741],[-86.14394999999999,31.537675],[-86.156561,31.530203],[-86.194784,31.529949],[-86.193951,31.440071999999997],[-86.261876,31.441167999999998],[-86.260189,31.455716],[-86.277031,31.455602],[-86.278196,31.514771999999997],[-86.280155,31.528509999999997],[-86.298887,31.528496999999998],[-86.31964099999999,31.505042999999997],[-86.3306,31.500950999999997],[-86.340037,31.486919],[-86.364659,31.486732],[-86.3703,31.473689],[-86.398536,31.451324999999997],[-86.39994,31.527127999999998],[-86.41538299999999,31.525571999999997],[-86.499213,31.525330999999998],[-86.499533,31.655247],[-86.448635,31.655617],[-86.445978,31.70112],[-86.446411,31.831660999999997],[-86.438363,31.84284],[-86.446619,31.846428999999997],[-86.44819799999999,31.964629]]]}",Crenshaw County,4648,109,25,0,182.7,0,-10.7%,54.8%,HIGH,13194,35228,826
"{""type"":""Polygon"",""coordinates"":[[[-86.581936,34.304694],[-86.477525,34.302758],[-86.47700499999999,34.289356999999995],[-86.45944899999999,34.289148],[-86.459648,34.27456],[-86.451111,34.274539],[-86.45302,34.259316999999996],[-86.48594299999999,34.260185],[-86.499658,34.248968],[-86.51960299999999,34.251765999999996],[-86.523387,34.227337999999996],[-86.539352,34.226006],[-86.555796,34.189129],[-86.545211,34.18727],[-86.57396899999999,34.165436],[-86.587614,34.138331],[-86.60023,34.131932],[-86.601147,34.11904],[-86.613801,34.113749],[-86.624127,34.122211],[-86.653448,34.107223],[-86.65682,34.091646],[-86.687697,34.080735],[-86.6883,34.092601],[-86.704244,34.081497],[-86.68536499999999,34.05914],[-86.695668,34.061111],[-86.70951,34.047720999999996],[-86.701465,34.039632999999995],[-86.709746,34.029047],[-86.72057699999999,34.032032],[-86.722916,34.019686],[-86.744225,34.007056],[-86.74037799999999,34.000386],[-86.760071,33.995934],[-86.763999,33.974187],[-86.79167799999999,33.963558],[-86.793914,33.952059],[-86.820117,33.957526],[-86.821315,33.941531],[-86.836215,33.95062],[-86.860451,33.934351],[-86.886218,33.932989],[-86.886022,33.917432],[-86.924387,33.909222],[-86.920198,33.873453],[-86.947656,33.861911],[-86.962111,33.867691],[-86.963358,33.858221],[-86.99398699999999,33.860932],[-87.006862,33.866178999999995],[-87.007077,33.888926999999995],[-87.091836,33.890093],[-87.10081,33.898358],[-87.08199599999999,33.906400999999995],[-87.085584,33.919163999999995],[-87.104574,33.935216],[-87.112377,33.959486999999996],[-87.13408,33.965092999999996],[-87.15103599999999,33.993224999999995],[-87.111992,33.992385],[-87.112155,34.125101],[-87.11021,34.226301],[-87.109911,34.299299],[-87.11011099999999,34.313798999999996],[-87.09197999999999,34.312295999999996],[-86.973625,34.311548],[-86.85488699999999,34.308361999999995],[-86.581936,34.304694]]]}",Cullman County,30853,395,84,0,99.4,0,-61.1%,6.5%,SUBSTANTIAL,87866,35114,450
"{""type"":""Polygon"",""coordinates"":[[[-85.416437,31.619466],[-85.415336,31.500168],[-85.41803499999999,31.440769999999997],[-85.416535,31.375176],[-85.417434,31.314973],[-85.417065,31.286188],[-85.48544199999999,31.287094999999997],[-85.48585399999999,31.246095999999998],[-85.503789,31.246378999999997],[-85.525202,31.253314999999997],[-85.54611299999999,31.253867999999997],[-85.56294199999999,31.261225],[-85.585534,31.264179],[-85.60295599999999,31.272378],[-85.635307,31.275554999999997],[-85.665775,31.267591],[-85.675113,31.255561999999998],[-85.67119,31.249695],[-85.689092,31.236089999999997],[-85.691698,31.213445999999998],[-85.71033299999999,31.195172999999997],[-85.79140199999999,31.196348999999998],[-85.791208,31.293471999999998],[-85.789594,31.372698],[-85.79033799999999,31.443768],[-85.78913899999999,31.500170999999998],[-85.789142,31.617963999999997],[-85.748251,31.618047999999998],[-85.585439,31.617565],[-85.499956,31.620267],[-85.416437,31.619466]]]}",Dale County,16085,245,50,0,102.1,0,-36.7%,18.2%,HIGH,49326,32610,497
"{""type"":""Polygon"",""coordinates"":[[[-87.01776199999999,32.729532],[-87.01765999999999,32.663269],[-86.91759499999999,32.664169],[-86.921145,32.65623],[-86.910859,32.629087999999996],[-86.911962,32.612192],[-86.905677,32.601002],[-86.898304,32.567687],[-86.906688,32.543521999999996],[-86.90368199999999,32.531087],[-86.88967799999999,32.510208],[-86.890581,32.502974],[-86.860056,32.450860999999996],[-86.86708999999999,32.439188],[-86.849898,32.438325],[-86.824292,32.423918],[-86.84544799999999,32.415416],[-86.843758,32.400416],[-86.827244,32.378816],[-86.815399,32.370821],[-86.807378,32.354355999999996],[-86.81491199999999,32.340803],[-86.85041199999999,32.328947],[-86.850507,32.309857],[-86.82606,32.305957],[-86.864367,32.274918],[-86.86241799999999,32.267120999999996],[-86.84124899999999,32.241987],[-86.819408,32.233663],[-86.810448,32.237589],[-86.810313,32.224747],[-86.90830199999999,32.225028],[-86.906956,32.04797],[-87.123052,32.047202],[-87.17786,32.047514],[-87.175585,32.064701],[-87.19157799999999,32.070256],[-87.189937,32.086058],[-87.213141,32.091462],[-87.234028,32.101694],[-87.235592,32.113375999999995],[-87.245513,32.122164999999995],[-87.261156,32.123753],[-87.252237,32.135795],[-87.26285299999999,32.147006999999995],[-87.28086599999999,32.144345],[-87.29253,32.167904],[-87.317962,32.181264],[-87.328662,32.195332],[-87.353377,32.201651999999996],[-87.365394,32.197224999999996],[-87.374521,32.221922],[-87.388599,32.223166],[-87.39428,32.237328999999995],[-87.40907899999999,32.236736],[-87.42275,32.244118],[-87.444429,32.268889],[-87.472206,32.264919],[-87.47308,32.307614],[-87.42174399999999,32.308101],[-87.42286999999999,32.375136999999995],[-87.423153,32.482965],[-87.338709,32.482887999999996],[-87.233798,32.484372],[-87.220981,32.486989],[-87.11651499999999,32.487659],[-87.100724,32.504737],[-87.089967,32.534416],[-87.08184399999999,32.537078],[-87.07725599999999,32.557364],[-87.08140499999999,32.570428],[-87.057007,32.584443],[-87.040319,32.603882],[-87.047873,32.620776],[-87.04353499999999,32.64295],[-87.03208099999999,32.664],[-87.033255,32.695844],[-87.01776199999999,32.729532]]]}",Dallas County,10566,258,54,0,149.6,0,-16.9%,4.6%,HIGH,38462,27471,671
"{""type"":""Polygon"",""coordinates"":[[[-85.583145,34.860371],[-85.561416,34.750079],[-85.534089,34.623858],[-85.527261,34.588682999999996],[-85.513612,34.523824999999995],[-85.533434,34.514083],[-85.54440000000001,34.500085],[-85.559365,34.501247],[-85.560386,34.489909],[-85.57698099999999,34.483543],[-85.570342,34.467763999999995],[-85.580325,34.470306],[-85.583917,34.457961],[-85.579656,34.439709],[-85.60068299999999,34.420926],[-85.614789,34.394653],[-85.62651699999999,34.39776],[-85.620171,34.387161],[-85.636645,34.366622],[-85.664154,34.361937],[-85.675283,34.343396],[-85.774165,34.259094],[-85.809045,34.258921],[-85.80841699999999,34.239377],[-85.843801,34.244595],[-85.843617,34.200006],[-86.048465,34.199569],[-86.10608599999999,34.200756],[-86.110362,34.427797],[-86.057712,34.475994],[-86.02602399999999,34.475505],[-86.021697,34.481652],[-86.00384,34.480031],[-85.96117699999999,34.500586999999996],[-85.938544,34.525354],[-85.785471,34.624584],[-85.761916,34.653656],[-85.69303699999999,34.74425],[-85.673379,34.744915],[-85.660198,34.754963],[-85.63426799999999,34.798978],[-85.627068,34.831879],[-85.583145,34.860371]]]}",DeKalb County,22096,345,60,0,83.7,0,-27.7%,14.7%,HIGH,71608,30857,482
"{""type"":""Polygon"",""coordinates"":[[[-86.374974,32.75358],[-86.33676799999999,32.753783],[-86.336694,32.76813],[-86.319163,32.767837],[-86.31948,32.753698],[-86.007187,32.754984],[-85.97215899999999,32.75493],[-85.972763,32.769225],[-85.955561,32.769126],[-85.954859,32.754824],[-85.87986,32.754528],[-85.88185899999999,32.737558],[-85.893402,32.727663],[-85.89061099999999,32.717005],[-85.90746999999999,32.699301999999996],[-85.91171399999999,32.677839999999996],[-85.90099599999999,32.660173],[-85.88774699999999,32.64761],[-85.894559,32.603131999999995],[-85.885458,32.547633999999995],[-85.891091,32.516922],[-85.88614799999999,32.493052999999996],[-85.870305,32.481474],[-85.85304099999999,32.475265],[-85.872695,32.473869],[-85.88221899999999,32.454988],[-85.89442,32.447578],[-85.931776,32.453528],[-85.958953,32.44113],[-85.973455,32.453452999999996],[-85.98526199999999,32.440472],[-85.993493,32.451509],[-85.990652,32.433053],[-86.023012,32.419978],[-86.042547,32.417926],[-86.046402,32.406146],[-86.078063,32.412714],[-86.08627899999999,32.42165],[-86.116329,32.417026],[-86.13034999999999,32.423339999999996],[-86.12545,32.434049],[-86.151034,32.424636],[-86.154242,32.434346999999995],[-86.177257,32.440439999999995],[-86.19008,32.432474],[-86.193998,32.44139],[-86.181933,32.445982],[-86.188885,32.456297],[-86.198075,32.45138],[-86.213988,32.474553],[-86.22655999999999,32.468587],[-86.22139,32.479842999999995],[-86.237068,32.49498],[-86.262006,32.501689999999996],[-86.262023,32.486523999999996],[-86.276718,32.486257],[-86.290252,32.472608],[-86.30539,32.488774],[-86.314087,32.486173],[-86.30798399999999,32.467008],[-86.31597099999999,32.449635],[-86.325165,32.443526999999996],[-86.306722,32.419347],[-86.311889,32.411170999999996],[-86.319779,32.419821999999996],[-86.34447,32.432635999999995],[-86.398398,32.426941],[-86.395909,32.416015],[-86.411172,32.409937],[-86.412233,32.528729999999996],[-86.413116,32.707386],[-86.41333499999999,32.750591],[-86.371118,32.750627],[-86.374974,32.75358]]]}",Elmore County,29175,361,86,0,104.7,0,-33.3%,17.3%,HIGH,87977,33162,410
"{""type"":""Polygon"",""coordinates"":[[[-87.61589,31.244457999999998],[-87.5874,31.238747],[-87.559287,31.227290999999997],[-87.53603,31.23728],[-87.52301,31.247911],[-87.507297,31.248845],[-87.489206,31.260075999999998],[-87.427455,31.260385999999997],[-87.249977,31.260512],[-86.99996999999999,31.261038],[-86.84320199999999,31.261996999999997],[-86.763961,31.261293],[-86.772263,31.250655],[-86.763763,31.220463],[-86.772519,31.202243],[-86.762979,31.196457],[-86.76351199999999,31.181133],[-86.756671,31.193157999999997],[-86.738743,31.194647],[-86.737189,31.187358],[-86.71665,31.184873999999997],[-86.72108899999999,31.190983],[-86.700282,31.192217],[-86.70022,31.000418],[-86.688317,30.994507],[-86.723585,30.996568999999997],[-86.785692,30.996979999999997],[-86.925578,30.997674999999997],[-87.140755,30.999532],[-87.163084,30.999045],[-87.237685,30.996392999999998],[-87.311949,30.998434999999997],[-87.598829,30.997455],[-87.615431,30.997360999999998],[-87.61589,31.244457999999998]]]}",Escambia County,12118,178,44,0,121.3,0,-35.3%,14.7%,HIGH,36757,32968,484
