"","Date","Hospitals reporting","Hospitalized daily","Hospitalized daily, no weekend","7-day average","14-day average","Average per hospital","7-day change","14-day change","21-day change"
"20",2020-04-13,105,380,380,328,286,4,83,224,NA
"21",2020-04-14,108,380,380,339,301,4,78,208,NA
"22",2020-04-15,106,402,402,353,311,4,94,144,311
"23",2020-04-16,105,360,360,358,321,3,36,134,254
"24",2020-04-17,102,364,364,360,330,4,14,126,252
"25",2020-04-18,81,359,NA,362,339,4,16,121,225
"26",2020-04-19,84,360,NA,372,344,4,70,78,202
"27",2020-04-20,103,397,397,375,351,4,17,100,241
"28",2020-04-21,103,401,401,378,358,4,21,99,229
"29",2020-04-22,107,440,440,383,368,4,38,132,182
"30",2020-04-23,103,406,406,390,374,4,46,82,180
"31",2020-04-24,106,429,429,399,379,4,65,79,191
"32",2020-04-25,80,351,NA,398,380,4,-8,8,113
"33",2020-04-26,77,384,NA,401,387,5,24,94,102
"34",2020-04-27,102,426,426,405,390,4,29,46,129
"35",2020-04-28,109,530,530,424,401,5,129,150,228
"36",2020-04-29,105,498,498,432,408,5,58,96,190
"37",2020-04-30,97,495,NA,445,417,5,89,135,171
"38",2020-05-01,97,495,495,454,426,5,66,131,145
"39",2020-05-02,70,420,NA,464,431,6,69,61,77
"40",2020-05-03,66,427,NA,470,436,6,43,67,137
"41",2020-05-04,100,517,517,483,444,5,91,120,137
"42",2020-05-05,105,522,522,482,453,5,-8,121,142
"43",2020-05-06,102,485,485,480,456,5,-13,45,83
"44",2020-05-07,100,502,502,481,463,5,7,96,142
"45",2020-05-08,100,481,481,479,467,5,-14,52,117
"46",2020-05-09,77,437,NA,482,473,6,17,86,78
"47",2020-05-10,70,424,NA,481,476,6,-3,40,64
"48",2020-05-11,100,458,458,473,478,5,-59,32,61
"49",2020-05-12,107,529,529,474,478,5,7,-1,128
"50",2020-05-13,110,524,524,479,480,5,39,26,84
"51",2020-05-14,103,509,509,480,481,5,7,14,103
"52",2020-05-15,103,519,519,486,482,5,38,24,90
"53",2020-05-16,79,455,NA,488,485,6,18,35,104
"54",2020-05-17,69,460,NA,493,487,7,36,33,76
"55",2020-05-18,103,536,536,505,489,5,78,19,110
"56",2020-05-19,103,489,489,499,486,5,-40,-33,-41
"57",2020-05-20,102,560,560,504,492,5,36,75,62
"58",2020-05-21,106,574,574,513,497,5,65,72,79
"59",2020-05-22,96,598,598,525,505,6,79,117,103
"60",2020-05-23,65,446,NA,523,506,7,-9,9,26
"61",2020-05-24,68,440,NA,520,507,6,-20,16,13
"62",2020-05-25,69,450,450,508,506,7,-86,-8,-67
"63",2020-05-26,100,569,569,520,509,6,80,40,47
"64",2020-05-27,102,607,607,526,515,6,47,83,122
"65",2020-05-28,101,527,527,520,516,5,-47,18,25
"66",2020-05-29,99,590,590,518,522,6,-8,71,109
"67",2020-05-30,84,536,NA,531,527,6,90,81,99
"68",2020-05-31,77,527,NA,544,532,7,87,67,103
"69",2020-06-01,104,596,596,565,536,6,146,60,138
"70",2020-06-02,103,606,606,570,545,6,37,117,77
"71",2020-06-03,103,610,610,570,548,6,3,50,86
"72",2020-06-04,93,600,600,581,550,6,73,26,91
"73",2020-06-05,99,582,582,580,549,6,-8,-16,63
"74",2020-06-06,78,473,NA,571,551,6,-63,27,18
"75",2020-06-07,77,518,NA,569,556,7,-9,78,58
"76",2020-06-08,101,593,593,569,567,6,-3,143,57
"77",2020-06-09,99,628,628,572,571,6,22,59,139
"78",2020-06-10,105,646,646,577,574,6,36,39,86
"79",2020-06-11,104,647,647,584,582,6,47,120,73
"80",2020-06-12,98,624,624,590,585,6,42,34,26
"81",2020-06-13,87,563,NA,603,587,6,90,27,117
"82",2020-06-14,86,576,NA,611,590,7,58,49,136
"83",2020-06-15,104,641,641,618,593,6,48,45,191
"84",2020-06-16,104,683,683,626,599,7,55,77,114
"85",2020-06-17,104,688,688,632,604,7,42,78,81
"86",2020-06-18,103,668,668,635,609,6,21,68,141
"87",2020-06-19,101,650,650,638,614,6,26,68,60
"88",2020-06-20,90,638,NA,649,626,7,75,165,102
"89",2020-06-21,84,625,NA,656,634,7,49,107,98
"90",2020-06-22,105,663,663,659,639,6,22,70,67
"91",2020-06-23,101,681,681,659,642,7,-2,53,75
"92",2020-06-24,103,683,683,658,645,7,-5,37,73
"93",2020-06-25,105,694,694,662,648,7,26,47,94
"94",2020-06-26,103,668,668,665,652,6,18,44,86
"95",2020-06-27,90,655,NA,667,658,7,17,92,182
"96",2020-06-28,88,650,NA,671,663,7,25,74,132
"97",2020-06-29,103,726,726,680,669,7,63,85,133
"98",2020-06-30,103,775,775,693,676,8,94,92,147
"99",2020-07-01,104,809,809,711,685,8,126,121,163
"100",2020-07-02,101,843,843,732,697,8,149,175,196
"101",2020-07-03,97,838,838,757,711,9,170,188,214
"102",2020-07-04,89,818,NA,780,723,9,163,180,255
"103",2020-07-05,87,919,NA,818,744,11,269,294,343
"104",2020-07-06,105,1025,1025,861,770,10,299,362,384
"105",2020-07-07,103,1078,1078,904,799,10,303,397,395
"106",2020-07-08,106,1116,1116,948,830,11,307,433,428
"107",2020-07-09,102,1135,1135,990,861,11,292,441,467
"108",2020-07-10,104,1201,1201,1042,899,12,363,533,551
"109",2020-07-11,90,1093,NA,1081,930,12,275,438,455
"110",2020-07-12,90,1163,NA,1116,967,13,244,513,538
"111",2020-07-13,104,1335,1335,1160,1011,13,310,609,672
"112",2020-07-14,104,1362,1362,1201,1052,13,284,587,681
"113",2020-07-15,107,1332,1332,1232,1090,12,216,523,649
"114",2020-07-16,109,1395,1395,1269,1129,13,260,552,701
"115",2020-07-17,105,1433,1433,1302,1172,14,232,595,765
"116",2020-07-18,98,1463,NA,1355,1218,15,370,645,808
"117",2020-07-19,95,1524,NA,1406,1261,16,361,605,874
"118",2020-07-20,108,1571,1571,1440,1300,15,236,546,845
"119",2020-07-21,110,1468,NA,1455,1328,13,106,390,693
"120",2020-07-22,110,1468,1468,1475,1353,13,136,352,659
"121",2020-07-23,103,1561,1561,1498,1384,15,166,426,718
"122",2020-07-24,105,1536,1536,1513,1407,15,103,335,698
"123",2020-07-25,98,1499,NA,1518,1436,15,36,406,681
"124",2020-07-26,96,1512,NA,1516,1461,16,-12,349,593
"125",2020-07-27,104,1473,1473,1502,1471,14,-98,138,448
"126",2020-07-28,104,1598,1598,1521,1488,15,130,236,520
"127",2020-07-29,103,1605,1605,1541,1508,16,137,273,489
"128",2020-07-30,99,1512,1512,1534,1516,15,-49,117,377
"129",2020-07-31,103,1596,1596,1542,1528,15,60,163,395
"130",2020-08-01,95,1416,NA,1530,1524,15,-83,-47,323
"131",2020-08-02,95,1538,NA,1534,1525,16,26,14,375
"132",2020-08-03,101,1540,1540,1544,1523,15,67,-31,205
"133",2020-08-04,102,1572,1572,1540,1530,15,-26,104,210
"134",2020-08-05,104,1572,1572,1535,1538,15,-33,104,240
"135",2020-08-06,105,1613,1613,1550,1542,15,101,52,218
"136",2020-08-07,100,1403,1403,1522,1532,14,-193,-133,-30
"137",2020-08-08,93,1454,NA,1527,1529,16,38,-45,-9
"138",2020-08-09,96,1449,NA,1515,1524,15,-89,-63,-75
"139",2020-08-10,106,1551,1551,1516,1530,15,11,78,-20
"140",2020-08-11,106,1504,1504,1507,1523,14,-68,-94,36
"141",2020-08-12,106,1386,1386,1480,1508,13,-186,-219,-82
"142",2020-08-13,103,1341,1341,1441,1495,13,-272,-171,-220
"143",2020-08-14,99,1326,1326,1430,1476,13,-77,-270,-210
"144",2020-08-15,96,1259,NA,1402,1465,13,-195,-157,-240
"145",2020-08-16,94,1289,NA,1379,1447,14,-160,-249,-223
"146",2020-08-17,106,1301,1301,1344,1430,12,-250,-239,-172
"147",2020-08-18,105,1278,1278,1311,1409,12,-226,-294,-320
"148",2020-08-19,98,1201,1201,1285,1382,12,-185,-371,-404
"149",2020-08-20,99,1160,1160,1259,1350,12,-181,-453,-352
"150",2020-08-21,104,1168,1168,1237,1333,11,-158,-235,-428
"151",2020-08-22,93,1067,NA,1209,1306,11,-192,-387,-349
"152",2020-08-23,93,1068,NA,1178,1278,11,-221,-381,-470
"153",2020-08-24,103,1149,1149,1156,1250,11,-152,-402,-391
"154",2020-08-25,104,1122,1122,1134,1222,11,-156,-382,-450
"155",2020-08-26,104,1077,1077,1116,1200,10,-124,-309,-495
"156",2020-08-27,105,1052,1052,1100,1180,10,-108,-289,-561
"157",2020-08-28,103,1002,1002,1077,1157,10,-166,-324,-401
"158",2020-08-29,96,990,NA,1066,1137,10,-77,-269,-464
"159",2020-08-30,98,969,NA,1052,1115,10,-99,-320,-480
"160",2020-08-31,105,990,NA,1029,1092,9,-159,-311,-561
"161",2020-09-01,105,990,990,1010,1072,9,-132,-288,-514
"162",2020-09-02,106,962,962,994,1055,9,-115,-239,-424
"163",2020-09-03,104,906,906,973,1037,9,-146,-254,-435
"164",2020-09-04,106,863,863,953,1015,8,-139,-305,-463
"165",2020-09-05,93,829,NA,930,998,9,-161,-238,-430
"166",2020-09-06,99,842,NA,912,982,9,-127,-226,-447
"167",2020-09-07,100,845,845,891,960,8,-145,-304,-456
"168",2020-09-08,109,849,849,871,940,8,-141,-273,-429
"169",2020-09-09,108,857,857,856,925,8,-105,-220,-344
"170",2020-09-10,105,831,831,845,909,8,-75,-221,-329
"171",2020-09-11,108,814,814,838,896,8,-49,-188,-354
"172",2020-09-12,97,775,NA,830,880,8,-54,-215,-292
"173",2020-09-13,98,800,NA,824,868,8,-42,-169,-268
"174",2020-09-14,106,792,792,817,854,7,-53,-198,-357
"175",2020-09-15,106,736,736,801,836,7,-113,-254,-386
"176",2020-09-16,105,767,767,788,822,7,-90,-195,-310
"177",2020-09-17,106,741,741,775,810,7,-90,-165,-311
"178",2020-09-18,105,724,724,762,800,7,-90,-139,-278
"179",2020-09-19,95,741,NA,757,794,8,-34,-88,-249
"180",2020-09-20,98,780,NA,754,789,8,-20,-62,-189
"181",2020-09-21,105,802,802,756,786,8,10,-43,-188
"182",2020-09-22,105,805,805,766,783,8,69,-44,-185
"183",2020-09-23,105,768,768,766,777,7,1,-89,-194
"184",2020-09-24,107,752,752,767,771,7,11,-79,-154
"185",2020-09-25,100,703,703,764,763,7,-21,-111,-160
"186",2020-09-26,97,726,NA,762,760,7,-15,-49,-103
"187",2020-09-27,98,747,NA,758,756,8,-33,-53,-95
"188",2020-09-28,106,767,767,753,754,7,-35,-25,-78
"189",2020-09-29,106,774,774,748,757,7,-31,38,-75
"190",2020-09-30,105,761,761,747,756,7,-7,-6,-96
"191",2020-10-01,108,759,759,748,758,7,7,18,-72
"192",2020-10-02,104,735,735,753,759,7,32,11,-79
"193",2020-10-03,100,742,NA,755,759,7,16,1,-33
"194",2020-10-04,98,759,NA,757,757,8,12,-21,-41
"195",2020-10-05,103,791,791,760,756,8,24,-11,-1
"196",2020-10-06,106,779,779,761,754,7,5,-26,43
"197",2020-10-07,108,777,777,763,755,7,16,9,10
"198",2020-10-08,107,790,790,768,758,7,31,38,49
"199",2020-10-09,106,801,801,777,765,8,66,98,77
"200",2020-10-10,102,796,NA,785,770,8,54,70,55
"201",2020-10-11,101,812,NA,792,774,8,53,65,32
"202",2020-10-12,106,856,856,802,781,8,65,89,54
"203",2020-10-13,106,821,821,808,784,8,42,47,16
"204",2020-10-14,110,862,862,820,791,8,85,101,94
"205",2020-10-15,107,849,849,828,798,8,59,90,97
"206",2020-10-16,108,859,859,836,807,8,58,124,156
"207",2020-10-17,101,805,NA,838,811,8,9,63,79
"208",2020-10-18,104,835,NA,841,817,8,23,76,88
"209",2020-10-19,108,859,859,841,822,8,3,68,92
"210",2020-10-20,105,843,843,845,826,8,22,64,69
"211",2020-10-21,109,837,837,841,830,8,-25,60,76
"212",2020-10-22,110,869,869,844,836,8,20,79,110
"213",2020-10-23,106,888,888,848,842,8,29,87,153
"214",2020-10-24,100,919,NA,864,851,9,114,123,177
"215",2020-10-25,99,935,NA,879,860,9,100,123,176
"216",2020-10-26,106,967,967,894,868,9,108,111,176
"217",2020-10-27,106,1001,1001,917,881,9,158,180,222
"218",2020-10-28,109,1013,1013,942,891,9,176,151,236
"219",2020-10-29,105,976,976,957,900,9,107,127,186
"220",2020-10-30,105,979,979,970,909,9,91,120,178
"221",2020-10-31,97,973,NA,978,921,10,54,168,177
"222",2020-11-01,97,973,NA,983,931,10,38,138,161
"223",2020-11-02,105,1047,1047,995,944,10,80,188,191
"224",2020-11-03,107,1022,1022,998,957,10,21,179,201
"225",2020-11-04,108,1015,1015,998,970,9,2,178,153
"226",2020-11-05,103,989,989,1000,978,10,13,120,140
"227",2020-11-06,102,1022,1022,1006,988,10,43,134,163
"228",2020-11-07,96,985,NA,1008,993,10,12,66,180
"229",2020-11-08,98,1082,NA,1023,1003,11,109,147,247
"230",2020-11-09,109,1174,1174,1041,1018,11,127,207,315
"231",2020-11-10,106,1195,1195,1066,1032,11,173,194,352
"232",2020-11-11,110,1209,1209,1094,1046,11,194,196,372
"233",2020-11-12,105,1231,1231,1128,1064,12,242,255,362
"234",2020-11-13,101,1188,1188,1152,1079,12,166,209,300
"235",2020-11-14,98,1124,NA,1172,1090,11,139,151,205
"236",2020-11-15,99,1195,NA,1188,1106,12,113,222,260
"237",2020-11-16,104,1228,1228,1196,1118,12,54,181,261
"238",2020-11-17,106,1287,1287,1209,1137,12,92,265,286
"239",2020-11-18,110,1282,1282,1219,1156,12,73,267,269
"240",2020-11-19,106,1309,1309,1230,1179,12,78,320,333
"241",2020-11-20,105,1325,1325,1250,1201,13,137,303,346
"242",2020-11-21,98,1300,NA,1275,1224,13,176,315,327
"243",2020-11-22,98,1331,NA,1295,1241,14,136,249,358
"244",2020-11-23,105,1422,1422,1322,1259,14,194,248,375
"245",2020-11-24,105,1422,1422,1342,1275,14,135,227,400
"246",2020-11-25,106,1484,1484,1370,1295,14,202,275,469
"247",2020-11-26,97,1450,1450,1391,1310,15,141,219,461
"248",2020-11-27,101,1529,1529,1420,1335,15,204,341,507
"249",2020-11-28,100,1571,NA,1458,1367,16,271,447,586
"250",2020-11-29,98,1603,NA,1497,1396,16,272,408,521
"251",2020-11-30,106,1731,1731,1541,1432,16,309,503,557
"252",2020-12-01,107,1779,1779,1592,1467,17,357,492,584
"253",2020-12-02,108,1794,1794,1637,1504,17,310,512,585
"254",2020-12-03,107,1825,1825,1690,1540,17,375,516,594
"255",2020-12-04,105,1875,1875,1740,1580,18,346,550,687
"256",2020-12-05,99,1790,NA,1771,1615,18,219,490,666
"257",2020-12-06,98,1916,NA,1816,1656,20,313,585,721
"258",2020-12-07,106,2021,2021,1857,1699,19,290,599,793
"259",2020-12-08,109,2098,2098,1903,1748,19,319,676,811
"260",2020-12-09,109,2152,2152,1954,1795,20,358,668,870
"261",2020-12-10,105,2165,2165,2002,1846,21,340,715,856
"262",2020-12-11,103,2167,2167,2044,1892,21,292,638,842
"263",2020-12-12,97,2124,NA,2092,1931,22,334,553,824
"264",2020-12-13,99,2248,NA,2139,1978,23,332,645,917
"265",2020-12-14,107,2351,2351,2186,2022,22,330,620,929
"266",2020-12-15,107,2342,2342,2221,2062,22,244,563,920
"267",2020-12-16,112,2390,2390,2255,2105,21,238,596,906
"268",2020-12-17,105,2425,2425,2292,2147,23,260,600,975
"269",2020-12-18,103,2360,2360,2320,2182,23,193,485,831
"270",2020-12-19,97,2329,NA,2349,2221,24,205,539,758
"271",2020-12-20,97,2379,NA,2368,2254,25,131,463,776
"272",2020-12-21,106,2527,2527,2393,2290,24,176,506,796
"273",2020-12-22,106,2538,2538,2421,2321,24,196,440,759
"274",2020-12-23,108,2543,2543,2443,2349,24,153,391,749
"275",2020-12-24,99,2458,2458,2448,2370,25,33,293,633
"276",2020-12-25,97,2403,2403,2454,2387,25,43,236,528
"277",2020-12-26,96,2516,NA,2481,2415,26,187,392,726
"278",2020-12-27,95,2631,NA,2517,2442,28,252,383,715
"279",2020-12-28,107,2797,2797,2555,2474,26,270,446,776
"280",2020-12-29,106,2815,2815,2595,2508,27,277,473,717
"281",2020-12-30,112,2829,2829,2636,2539,25,286,439,677
"282",2020-12-31,101,2663,NA,2665,2556,26,205,238,498
"283",2021-01-01,101,2663,2663,2702,2578,26,260,303,496
"284",2021-01-02,95,2774,NA,2739,2610,29,258,445,650
"285",2021-01-03,99,2894,NA,2776,2646,29,263,515,646
"286",2021-01-04,107,3077,3077,2816,2686,29,280,550,726
"287",2021-01-05,105,3081,3081,2854,2725,29,266,543,739
"288",2021-01-06,110,3034,3034,2884,2760,28,205,491,644
"289",2021-01-07,102,2908,2908,2919,2792,29,245,450,483
"290",2021-01-08,104,3014,3014,2969,2835,29,351,611,654
"291",2021-01-09,99,2989,NA,3000,2869,30,215,473,660
"292",2021-01-10,98,2972,NA,3011,2894,30,78,341,593
"293",2021-01-11,107,3084,3084,3012,2914,29,7,287,557
"294",2021-01-12,104,3070,3070,3010,2932,30,-11,255,532
"295",2021-01-13,112,2975,2975,3002,2943,27,-59,146,432
"296",2021-01-14,106,2844,2844,2993,2956,27,-64,181,386
"297",2021-01-15,106,2861,2861,2971,2970,27,-153,198,458
"298",2021-01-16,99,2773,NA,2940,2970,28,-216,-1,257
"299",2021-01-17,98,2654,NA,2894,2953,27,-318,-240,23
"300",2021-01-18,107,2794,2794,2853,2932,26,-290,-283,-3
"301",2021-01-19,108,2734,2734,2805,2908,25,-336,-347,-81
"302",2021-01-20,109,2586,2586,2749,2876,24,-389,-448,-243
"303",2021-01-21,105,2370,2370,2682,2837,23,-474,-538,-293
"304",2021-01-22,106,2404,2404,2616,2794,23,-457,-610,-259
"305",2021-01-23,99,2258,NA,2543,2741,23,-515,-731,-516
"306",2021-01-24,98,2251,NA,2485,2690,23,-403,-721,-643
"307",2021-01-25,105,2277,2277,2411,2632,22,-517,-807,-800
"308",2021-01-26,105,2223,2223,2338,2572,21,-511,-847,-858
"309",2021-01-27,112,2128,2128,2273,2511,19,-458,-847,-906
"310",2021-01-28,106,2049,2049,2227,2454,19,-321,-795,-859
"311",2021-01-29,105,1975,1975,2166,2391,19,-429,-886,-1039
"312",2021-01-30,99,1879,NA,2112,2327,19,-379,-894,-1110
"313",2021-01-31,100,1882,NA,2059,2272,19,-369,-772,-1090
"314",2021-02-01,108,1889,1889,2004,2208,17,-388,-905,-1195
"315",2021-02-02,107,1865,1865,1952,2145,17,-358,-869,-1205
"316",2021-02-03,111,1779,1779,1903,2088,16,-349,-807,-1196
"317",2021-02-04,104,1668,1668,1848,2038,16,-381,-702,-1176
"318",2021-02-05,105,1664,1664,1804,1985,16,-311,-740,-1197
"319",2021-02-06,98,1513,NA,1751,1932,15,-366,-745,-1260
"320",2021-02-07,100,1513,NA,1699,1879,15,-369,-738,-1141
"321",2021-02-08,106,1528,1528,1647,1825,14,-361,-749,-1266
"322",2021-02-09,106,1443,1443,1587,1770,14,-422,-780,-1291
"323",2021-02-10,108,1422,1422,1536,1719,13,-357,-706,-1164
"324",2021-02-11,106,1347,1347,1490,1669,13,-321,-702,-1023
"325",2021-02-12,103,1258,1258,1432,1618,12,-406,-717,-1146
"326",2021-02-13,95,1089,NA,1371,1561,11,-424,-790,-1169
"327",2021-02-14,101,1136,NA,1318,1508,11,-377,-746,-1115
"328",2021-02-15,106,1136,1136,1262,1454,11,-392,-753,-1141
"329",2021-02-16,105,1103,1103,1213,1400,11,-340,-762,-1120
"330",2021-02-17,110,1080,1080,1164,1350,10,-342,-699,-1048
"331",2021-02-18,104,989,989,1113,1302,10,-358,-679,-1060
"332",2021-02-19,102,949,949,1069,1250,9,-309,-715,-1026
"333",2021-02-20,99,895,NA,1041,1206,9,-194,-618,-984
"334",2021-02-21,96,867,NA,1003,1160,9,-269,-646,-1015
"335",2021-02-22,104,862,862,964,1113,8,-274,-666,-1027
"336",2021-02-23,104,838,838,926,1069,8,-265,-605,-1027
"337",2021-02-24,109,776,776,882,1023,7,-304,-646,-1003
"338",2021-02-25,105,734,734,846,979,7,-255,-613,-934
"339",2021-02-26,103,688,688,809,939,7,-261,-570,-976
"340",2021-02-27,100,665,NA,776,908,7,-230,-424,-848
"341",2021-02-28,104,662,NA,746,875,6,-205,-474,-851
"342",2021-03-01,104,662,662,718,841,6,-200,-474,-866
"343",2021-03-02,106,629,629,688,807,6,-209,-474,-814
"344",2021-03-03,110,576,576,659,771,5,-200,-504,-846
"345",2021-03-04,104,547,547,633,739,5,-187,-442,-800
"346",2021-03-05,101,499,499,606,707,5,-189,-450,-759
"347",2021-03-06,97,485,NA,580,678,5,-180,-410,-604
"348",2021-03-07,101,494,NA,556,651,5,-168,-373,-642
"349",2021-03-08,103,516,516,535,626,5,-146,-346,-620
"350",2021-03-09,106,493,493,516,602,5,-136,-345,-610
"351",2021-03-10,109,475,475,501,580,4,-101,-301,-605
"352",2021-03-11,105,448,448,487,560,4,-99,-286,-541
"353",2021-03-12,100,439,439,479,542,4,-60,-249,-510
"354",2021-03-13,101,424,NA,470,525,4,-61,-241,-471
"355",2021-03-14,97,408,NA,458,507,4,-86,-254,-459
"356",2021-03-15,106,403,403,441,488,4,-113,-259,-459
"357",2021-03-16,104,427,427,432,474,4,-66,-202,-411
"358",2021-03-17,109,422,422,424,463,4,-53,-154,-354
"359",2021-03-18,105,391,391,416,452,4,-57,-156,-343
"360",2021-03-19,104,383,383,408,443,4,-56,-116,-305
"361",2021-03-20,99,367,NA,400,435,4,-57,-118,-298
"362",2021-03-21,100,373,NA,395,426,4,-35,-121,-289
"363",2021-03-22,104,377,377,391,416,4,-26,-139,-285
"364",2021-03-23,106,400,400,388,410,4,-27,-93,-229
"365",2021-03-24,111,397,397,384,404,4,-25,-78,-179
"366",2021-03-25,102,385,385,383,400,4,-6,-63,-162
"367",2021-03-26,104,359,359,380,394,3,-24,-80,-140
"368",2021-03-27,98,329,NA,374,387,3,-38,-95,-156
"369",2021-03-28,97,346,NA,370,383,4,-27,-62,-148
"370",2021-03-29,104,351,351,367,379,3,-26,-52,-165
"371",2021-03-30,104,360,360,361,374,3,-40,-67,-133
"372",2021-03-31,107,363,363,356,370,3,-34,-59,-112
"373",2021-04-01,104,334,334,349,366,3,-51,-57,-114
"374",2021-04-02,102,321,321,343,362,3,-38,-62,-118
"375",2021-04-03,98,312,NA,341,358,3,-17,-55,-112
"376",2021-04-04,96,315,NA,337,354,3,-31,-58,-93
"377",2021-04-05,104,315,315,331,349,3,-36,-62,-88
"378",2021-04-06,105,314,314,325,343,3,-46,-86,-113
"379",2021-04-07,110,310,310,317,337,3,-53,-87,-112
"380",2021-04-08,103,317,317,315,332,3,-17,-68,-74
"381",2021-04-09,101,301,301,312,328,3,-20,-58,-82
"382",2021-04-10,98,312,NA,312,326,3,0,-17,-55
"383",2021-04-11,100,321,NA,313,325,3,6,-25,-52
"384",2021-04-12,105,323,323,314,323,3,8,-28,-54
"385",2021-04-13,104,336,336,317,321,3,22,-24,-64
"386",2021-04-14,110,328,328,320,318,3,18,-35,-69
"387",2021-04-15,105,333,333,322,318,3,16,-1,-52
"388",2021-04-16,99,315,315,324,318,3,14,-6,-44
"389",2021-04-17,96,329,NA,326,319,3,17,17,0
"390",2021-04-18,96,351,NA,331,322,4,30,36,5
"391",2021-04-19,104,362,362,336,325,3,39,47,11
"392",2021-04-20,105,372,372,341,329,4,36,58,12
"393",2021-04-21,110,366,366,347,333,3,38,56,3
"394",2021-04-22,105,370,370,352,337,4,37,53,36
"395",2021-04-23,100,314,314,352,338,3,-1,13,-7
"396",2021-04-24,98,309,NA,349,338,3,-20,-3,-3
"397",2021-04-25,96,313,NA,344,337,3,-38,-8,-2
"398",2021-04-26,105,330,330,339,338,3,-32,7,15
"399",2021-04-27,103,335,335,334,338,3,-37,-1,21
"400",2021-04-28,109,313,313,326,337,3,-53,-15,3
"401",2021-04-29,104,315,315,318,335,3,-55,-18,-2
"402",2021-04-30,99,311,311,318,335,3,-3,-4,10
"403",2021-05-01,98,329,NA,321,335,3,20,0,17
"404",2021-05-02,99,320,NA,322,333,3,7,-31,-1
"405",2021-05-03,103,356,356,326,332,3,26,-6,33
"406",2021-05-04,104,360,360,329,332,3,25,-12,24
"407",2021-05-05,111,355,355,335,331,3,42,-11,27
"408",2021-05-06,104,365,365,342,330,4,50,-5,32
"409",2021-05-07,103,373,373,351,335,4,62,59,58
"410",2021-05-08,98,357,NA,355,338,4,28,48,28
"411",2021-05-09,97,362,NA,361,342,4,42,49,11
"412",2021-05-10,105,363,363,362,344,3,7,33,1
"413",2021-05-11,104,362,362,362,346,3,2,27,-10
"414",2021-05-12,111,367,367,364,350,3,12,54,1
"415",2021-05-13,104,355,355,363,352,3,-10,40,-15
"416",2021-05-14,102,343,343,358,355,3,-30,32,29
"417",2021-05-15,96,328,NA,354,355,3,-29,-1,19
"418",2021-05-16,97,327,NA,349,355,3,-35,7,14
"419",2021-05-17,105,324,324,344,353,3,-39,-32,-6
"420",2021-05-18,104,315,315,337,350,3,-47,-45,-20
"421",2021-05-19,111,314,314,329,347,3,-53,-41,1
"422",2021-05-20,102,311,311,323,343,3,-44,-54,-4
"423",2021-05-21,102,296,296,316,337,3,-47,-77,-15
"424",2021-05-22,96,276,NA,309,332,3,-52,-81,-53
"425",2021-05-23,98,284,NA,303,326,3,-43,-78,-36
"426",2021-05-24,104,287,287,298,321,3,-37,-76,-69
"427",2021-05-25,104,269,269,291,314,3,-46,-93,-91
"428",2021-05-26,109,277,277,286,308,3,-37,-90,-78
"429",2021-05-27,103,278,278,281,302,3,-33,-77,-87
"430",2021-05-28,102,261,261,276,296,3,-35,-82,-112
"431",2021-05-29,98,268,NA,275,292,3,-8,-60,-89
"432",2021-05-30,95,258,NA,271,287,3,-26,-69,-104
"433",2021-05-31,98,273,273,269,283,3,-14,-51,-90
"434",2021-06-01,105,272,272,270,280,3,3,-43,-90
"435",2021-06-02,109,265,265,268,277,2,-12,-49,-102
"436",2021-06-03,102,250,250,264,272,2,-28,-61,-105
"437",2021-06-04,98,236,236,260,268,2,-25,-60,-107
"438",2021-06-05,97,217,NA,253,264,2,-51,-59,-111
"439",2021-06-06,99,219,NA,247,259,2,-39,-65,-108
"440",2021-06-07,105,227,227,241,255,2,-46,-60,-97
"441",2021-06-08,106,227,227,234,252,2,-45,-42,-88
"442",2021-06-09,108,213,213,227,247,2,-52,-64,-101
"443",2021-06-10,103,207,207,221,242,2,-43,-71,-104
"444",2021-06-11,102,201,201,216,238,2,-35,-60,-95
"445",2021-06-12,98,190,NA,212,232,2,-27,-78,-86
"446",2021-06-13,97,196,NA,209,228,2,-23,-62,-88
"447",2021-06-14,101,195,195,204,222,2,-32,-78,-92
"448",2021-06-15,104,199,199,200,217,2,-28,-73,-70
"449",2021-06-16,103,185,185,196,212,2,-28,-80,-92
"450",2021-06-17,103,196,196,195,208,2,-11,-54,-82
"451",2021-06-18,100,167,167,190,203,2,-34,-69,-94
"452",2021-06-19,94,169,NA,187,199,2,-21,-48,-99
"453",2021-06-20,98,166,NA,182,196,2,-30,-53,-92
"454",2021-06-21,103,173,173,179,192,2,-22,-54,-100
"455",2021-06-22,105,188,188,178,189,2,-11,-39,-84
"456",2021-06-23,110,196,196,179,188,2,11,-17,-69
"457",2021-06-24,104,187,187,178,186,2,-9,-20,-63
"458",2021-06-25,103,178,178,180,185,2,11,-23,-58
"459",2021-06-26,94,177,NA,181,184,2,8,-13,-40
"460",2021-06-27,95,182,NA,183,183,2,16,-14,-37
"461",2021-06-28,106,187,187,185,182,2,14,-8,-40
"462",2021-06-29,105,189,189,185,181,2,1,-10,-38
"463",2021-06-30,108,200,200,186,182,2,4,15,-13
"464",2021-07-01,104,204,204,188,183,2,17,8,-3
"465",2021-07-02,104,197,197,191,185,2,19,30,-4
"466",2021-07-03,93,179,NA,191,186,2,2,10,-11
