"","Date","Cases per day","Cumulative cases","Case rate per 100,000","Case rate 7-day average","Cases in the last 7 days","Case rate in the last 7 days","% change to the 7-day total","7-day average of daily cases","14-day average of daily cases","14-day cases"
"950",2022-08-07,1494,1454897,30.5,41.4,14212,289.9,"-11.6%",2030,2164,30294
"951",2022-08-08,2555,1457452,52.1,40.5,13905,283.6,"-11%",1986,2109,29528
"952",2022-08-09,2197,1459649,44.8,39.9,13683,279.1,"-10.5%",1955,2070,28974
"953",2022-08-10,2090,1461739,42.6,39.6,13602,277.4,"-8.6%",1943,2035,28487
"954",2022-08-11,2020,1463759,41.2,39.6,13590,277.2,"-7.3%",1941,2017,28244
"955",2022-08-12,1852,1465611,37.8,39.6,13592,277.2,"-5.8%",1942,2002,28023
"956",2022-08-13,1414,1467025,28.8,39.7,13622,277.8,"-4.6%",1946,1993,27902
"957",2022-08-14,1585,1468610,32.3,40,13713,279.7,"-3.5%",1959,1995,27925
"958",2022-08-15,2769,1471379,56.5,40.6,13927,284,"0.2%",1990,1988,27832
"959",2022-08-16,2535,1473914,51.7,41.6,14265,290.9,"4.3%",2038,1996,27948
"960",2022-08-17,2173,1476087,44.3,41.8,14348,292.6,"5.5%",2050,1996,27950
"961",2022-08-18,2220,1478307,45.3,42.4,14548,296.7,"7%",2078,2010,28138
"962",2022-08-19,1778,1480085,36.3,42.2,14474,295.2,"6.5%",2068,2005,28066
"963",2022-08-20,1473,1481558,30,42.3,14533,296.4,"6.7%",2076,2011,28155
"964",2022-08-21,1639,1483197,33.4,42.5,14587,297.5,"6.4%",2084,2021,28300
"965",2022-08-22,3007,1486204,61.3,43.2,14825,302.4,"6.4%",2118,2054,28752
"966",2022-08-23,2629,1488833,53.6,43.5,14919,304.3,"4.6%",2131,2085,29184
"967",2022-08-24,2487,1491320,50.7,44.4,15233,310.7,"6.2%",2176,2113,29581
"968",2022-08-25,2202,1493522,44.9,44.3,15215,310.3,"4.6%",2174,2126,29763
"969",2022-08-26,2140,1495662,43.6,45.4,15577,317.7,"7.6%",2225,2146,30051
"970",2022-08-27,1371,1497033,28,45.1,15475,315.6,"6.5%",2211,2143,30008
"971",2022-08-28,1424,1498457,29,44.5,15260,311.2,"4.6%",2180,2132,29847
"972",2022-08-29,2762,1501219,56.3,43.7,15015,306.2,"1.3%",2145,2131,29840
"973",2022-08-30,2321,1503540,47.3,42.8,14707,299.9,"-1.4%",2101,2116,29626
"974",2022-08-31,1781,1505321,36.3,40.8,14001,285.5,"-8.1%",2000,2088,29234
"975",2022-09-01,1606,1506927,32.8,39.1,13405,273.4,"-11.9%",1915,2044,28620
"976",2022-09-02,1339,1508266,27.3,36.7,12604,257.1,"-19.1%",1801,2013,28181
"977",2022-09-03,859,1509125,17.5,35.2,12092,246.6,"-21.9%",1727,1969,27567
"978",2022-09-04,942,1510067,19.2,33.8,11610,236.8,"-23.9%",1659,1919,26870
"979",2022-09-05,940,1511007,19.2,28.5,9788,199.6,"-34.8%",1398,1772,24803
"980",2022-09-06,1748,1512755,35.7,26.8,9215,187.9,"-37.3%",1316,1709,23922
"981",2022-09-07,1381,1514136,28.2,25.7,8815,179.8,"-37%",1259,1630,22816
"982",2022-09-08,1148,1515284,23.4,24.3,8357,170.4,"-37.7%",1194,1554,21762
"983",2022-09-09,1002,1516286,20.4,23.4,8020,163.6,"-36.4%",1146,1473,20624
"984",2022-09-10,592,1516878,12.1,22.6,7753,158.1,"-35.9%",1108,1418,19845
"985",2022-09-11,591,1517469,12.1,21.6,7402,151,"-36.2%",1057,1358,19012
"986",2022-09-12,1089,1518558,22.2,22,7551,154,"-22.9%",1079,1238,17339
"987",2022-09-13,916,1519474,18.7,19.6,6719,137,"-27.1%",960,1138,15934
"988",2022-09-14,779,1520253,15.9,17.8,6117,124.8,"-30.6%",874,1067,14932
"989",2022-09-15,686,1520939,14,16.5,5655,115.3,"-32.3%",808,1001,14012
"990",2022-09-16,587,1521526,12,15.3,5240,106.9,"-34.7%",749,947,13260
"991",2022-09-17,383,1521909,7.8,14.7,5031,102.6,"-35.1%",719,913,12784
"992",2022-09-18,396,1522305,8.1,14.1,4836,98.6,"-34.7%",691,874,12238
"993",2022-09-19,796,1523101,16.2,13.2,4543,92.7,"-39.8%",649,864,12094
"994",2022-09-20,639,1523740,13,12.4,4266,87,"-36.5%",609,785,10985
"995",2022-09-21,584,1524324,11.9,11.9,4071,83,"-33.4%",582,728,10188
"996",2022-09-22,519,1524843,10.6,11.4,3904,79.6,"-31%",558,683,9559
"997",2022-09-23,514,1525357,10.5,11.2,3831,78.1,"-26.9%",547,648,9071
"998",2022-09-24,293,1525650,6,10.9,3741,76.3,"-25.6%",534,627,8772
"999",2022-09-25,296,1525946,6,10.6,3641,74.3,"-24.7%",520,606,8477
"1000",2022-09-26,520,1526466,10.6,9.8,3365,68.6,"-25.9%",481,565,7908
"1001",2022-09-27,488,1526954,10,9.4,3214,65.5,"-24.7%",459,534,7480
"1002",2022-09-28,417,1527371,8.5,8.9,3047,62.1,"-25.2%",435,508,7118
"1003",2022-09-29,417,1527788,8.5,8.6,2945,60.1,"-24.6%",421,489,6849
"1004",2022-09-30,367,1528155,7.5,8.2,2798,57.1,"-27%",400,474,6629
"1005",2022-10-01,271,1528426,5.5,8.1,2776,56.6,"-25.8%",397,466,6517
"1006",2022-10-02,311,1528737,6.3,8.1,2791,56.9,"-23.3%",399,459,6432
"1007",2022-10-03,500,1529237,10.2,8.1,2771,56.5,"-17.7%",396,438,6136
"1008",2022-10-04,403,1529640,8.2,7.8,2686,54.8,"-16.4%",384,421,5900
"1009",2022-10-05,420,1530060,8.6,7.8,2689,54.8,"-11.7%",384,410,5736
"1010",2022-10-06,388,1530448,7.9,7.8,2660,54.3,"-9.7%",380,400,5605
"1011",2022-10-07,365,1530813,7.4,7.7,2658,54.2,"-5%",380,390,5456
"1012",2022-10-08,221,1531034,4.5,7.6,2608,53.2,"-6.1%",373,385,5384
"1013",2022-10-09,225,1531259,4.6,7.3,2522,51.4,"-9.6%",360,380,5313
"1014",2022-10-10,430,1531689,8.8,7.1,2452,50,"-11.5%",350,373,5223
"1015",2022-10-11,401,1532090,8.2,7.1,2450,50,"-8.8%",350,367,5136
"1016",2022-10-12,354,1532444,7.2,6.9,2384,48.6,"-11.3%",341,362,5073
"1017",2022-10-13,402,1532846,8.2,7,2398,48.9,"-9.8%",343,361,5058
"1018",2022-10-14,358,1533204,7.3,7,2391,48.8,"-10%",342,361,5049
"1019",2022-10-15,230,1533434,4.7,7,2400,48.9,"-8%",343,358,5008
"1020",2022-10-16,286,1533720,5.8,7.2,2461,50.2,"-2.4%",352,356,4983
"1021",2022-10-17,467,1534187,9.5,7.3,2498,50.9,"1.9%",357,354,4950
"1022",2022-10-18,369,1534556,7.5,7.2,2466,50.3,"0.7%",352,351,4916
"1023",2022-10-19,382,1534938,7.8,7.3,2494,50.9,"4.6%",356,348,4878
"1024",2022-10-20,362,1535300,7.4,7.1,2454,50,"2.3%",351,347,4852
"1025",2022-10-21,361,1535661,7.4,7.2,2457,50.1,"2.8%",351,346,4848
"1026",2022-10-22,280,1535941,5.7,7.3,2507,51.1,"4.5%",358,350,4907
"1027",2022-10-23,344,1536285,7,7.5,2565,52.3,"4.2%",366,359,5026
"1028",2022-10-24,556,1536841,11.3,7.7,2654,54.1,"6.2%",379,368,5152
"1029",2022-10-25,550,1537391,11.2,8.3,2835,57.8,"15%",405,379,5301
"1030",2022-10-26,700,1538091,14.3,9.2,3153,64.3,"26.4%",450,403,5647
"1031",2022-10-27,592,1538683,12.1,9.9,3383,69,"37.9%",483,417,5837
"1032",2022-10-28,448,1539131,9.1,10.1,3470,70.8,"41.2%",496,423,5927
"1033",2022-10-29,260,1539391,5.3,10.1,3450,70.4,"37.6%",493,426,5957
"1034",2022-10-30,292,1539683,6,9.9,3398,69.3,"32.5%",485,426,5963
"1035",2022-10-31,574,1540257,11.7,10,3416,69.7,"28.7%",488,434,6070
"1036",2022-11-01,553,1540810,11.3,10,3419,69.7,"20.6%",488,447,6254
"1037",2022-11-02,513,1541323,10.5,9.4,3232,65.9,"2.5%",462,456,6385
"1038",2022-11-03,429,1541752,8.7,8.9,3069,62.6,"-9.3%",438,461,6452
"1039",2022-11-04,390,1542142,8,8.8,3011,61.4,"-13.2%",430,463,6481
"1040",2022-11-05,232,1542374,4.7,8.7,2983,60.8,"-13.5%",426,460,6433
"1041",2022-11-06,263,1542637,5.4,8.6,2954,60.2,"-13.1%",422,454,6352
"1042",2022-11-07,577,1543214,11.8,8.6,2957,60.3,"-13.4%",422,455,6373
"1043",2022-11-08,457,1543671,9.3,8.3,2861,58.3,"-16.3%",409,449,6280
"1044",2022-11-09,470,1544141,9.6,8.2,2818,57.5,"-12.8%",403,432,6050
"1045",2022-11-10,350,1544491,7.1,8,2739,55.9,"-10.8%",391,415,5808
"1046",2022-11-11,303,1544794,6.2,7.7,2652,54.1,"-11.9%",379,404,5663
"1047",2022-11-12,259,1545053,5.3,7.8,2679,54.6,"-10.2%",383,404,5662
"1048",2022-11-13,246,1545299,5,7.8,2662,54.3,"-9.9%",380,401,5616
"1049",2022-11-14,433,1545732,8.8,7.3,2518,51.4,"-14.8%",360,391,5475
"1050",2022-11-15,383,1546115,7.8,7.1,2444,49.8,"-14.6%",349,379,5305
"1051",2022-11-16,420,1546535,8.6,7,2394,48.8,"-15%",342,372,5212
"1052",2022-11-17,412,1546947,8.4,7.2,2456,50.1,"-10.3%",351,371,5195
"1053",2022-11-18,415,1547362,8.5,7.5,2568,52.4,"-3.2%",367,373,5220
"1054",2022-11-19,289,1547651,5.9,7.6,2598,53,"-3%",371,377,5277
"1055",2022-11-20,315,1547966,6.4,7.8,2667,54.4,"0.2%",381,381,5329
"1056",2022-11-21,632,1548598,12.9,8.4,2866,58.5,"13.8%",409,385,5384
"1057",2022-11-22,609,1549207,12.4,9,3092,63.1,"26.5%",442,395,5536
"1058",2022-11-23,604,1549811,12.3,9.5,3276,66.8,"36.8%",468,405,5670
"1059",2022-11-24,241,1550052,4.9,9,3105,63.3,"26.4%",444,397,5561
"1060",2022-11-25,579,1550631,11.8,9.5,3269,66.7,"27.3%",467,417,5837
"1061",2022-11-26,505,1551136,10.3,10.2,3485,71.1,"34.1%",498,434,6083
"1062",2022-11-27,565,1551701,11.5,10.9,3735,76.2,"40%",534,457,6402
"1063",2022-11-28,1271,1552972,25.9,12.7,4374,89.2,"52.6%",625,517,7240
"1064",2022-11-29,1022,1553994,20.8,13.9,4787,97.6,"54.8%",684,563,7879
"1065",2022-11-30,945,1554939,19.3,14.9,5128,104.6,"56.5%",733,600,8404
"1066",2022-12-01,785,1555724,16,16.5,5672,115.7,"82.7%",810,627,8777
"1067",2022-12-02,837,1556561,17.1,17.3,5930,120.9,"81.4%",847,657,9199
"1068",2022-12-03,529,1557090,10.8,17.3,5954,121.4,"70.8%",851,674,9439
"1069",2022-12-04,546,1557636,11.1,17.3,5935,121,"58.9%",848,691,9670
"1070",2022-12-05,1123,1558759,22.9,16.9,5787,118,"32.3%",827,726,10161
"1071",2022-12-06,1107,1559866,22.6,17.1,5872,119.8,"22.7%",839,761,10659
"1072",2022-12-07,1078,1560944,22,17.5,6005,122.5,"17.1%",858,795,11133
"1073",2022-12-08,978,1561922,19.9,18.1,6198,126.4,"9.3%",885,848,11870
"1074",2022-12-09,919,1562841,18.7,18.3,6280,128.1,"5.9%",897,872,12210
"1075",2022-12-10,629,1563470,12.8,18.6,6380,130.1,"7.2%",911,881,12334
"1076",2022-12-11,707,1564177,14.4,19.1,6541,133.4,"10.2%",934,891,12476
"1077",2022-12-12,1315,1565492,26.8,19.6,6733,137.3,"16.3%",962,894,12520
"1078",2022-12-13,1115,1566607,22.7,19.6,6741,137.5,"14.8%",963,901,12613
"1079",2022-12-14,1105,1567712,22.5,19.7,6768,138,"12.7%",967,912,12773
"1080",2022-12-15,1225,1568937,25,20.4,7015,143.1,"13.2%",1002,944,13213
"1081",2022-12-16,956,1569893,19.5,20.5,7052,143.8,"12.3%",1007,952,13332
"1082",2022-12-17,769,1570662,15.7,21,7192,146.7,"12.7%",1027,969,13572
"1083",2022-12-18,700,1571362,14.3,20.9,7185,146.5,"9.8%",1026,980,13726
"1084",2022-12-19,1547,1572909,31.6,21.6,7417,151.3,"10.2%",1060,1011,14150
"1085",2022-12-20,1395,1574304,28.5,22.4,7697,157,"14.2%",1100,1031,14438
"1086",2022-12-21,1439,1575743,29.3,23.4,8031,163.8,"18.7%",1147,1057,14799
"1087",2022-12-22,1374,1577117,28,23.8,8180,166.8,"16.6%",1169,1085,15195
"1088",2022-12-23,1058,1578175,21.6,24.1,8282,168.9,"17.4%",1183,1095,15334
"1089",2022-12-24,837,1579012,17.1,24.3,8350,170.3,"16.1%",1193,1110,15542
"1090",2022-12-25,454,1579466,9.3,23.6,8104,165.3,"12.8%",1158,1092,15289
"1091",2022-12-26,1566,1581032,31.9,23.7,8123,165.7,"9.5%",1160,1110,15540
"1092",2022-12-27,1985,1583017,40.5,25.4,8713,177.7,"13.2%",1245,1172,16410
"1093",2022-12-28,1895,1584912,38.6,26.7,9169,187,"14.2%",1310,1229,17200
"1094",2022-12-29,1761,1586673,35.9,27.8,9556,194.9,"16.8%",1365,1267,17736
"1095",2022-12-30,1513,1588186,30.9,29.2,10011,204.2,"20.9%",1430,1307,18293
"1096",2022-12-31,994,1589180,20.3,29.6,10168,207.4,"21.8%",1453,1323,18518
"1097",2023-01-01,825,1590005,16.8,30.7,10539,214.9,"30%",1506,1332,18643
"1098",2023-01-02,1687,1591692,34.4,31.1,10660,217.4,"31.2%",1523,1342,18783
"1099",2023-01-03,1907,1593599,38.9,30.8,10582,215.8,"21.5%",1512,1378,19295
"1100",2023-01-04,1673,1595272,34.1,30.2,10360,211.3,"13%",1480,1395,19529
"1101",2023-01-05,1466,1596738,29.9,29.3,10065,205.3,"5.3%",1438,1402,19621
"1102",2023-01-06,1146,1597884,23.4,28.3,9698,197.8,"-3.1%",1385,1408,19709
"1103",2023-01-07,713,1598597,14.5,27.4,9417,192.1,"-7.4%",1345,1399,19585
"1104",2023-01-08,718,1599315,14.6,27.1,9310,189.9,"-11.7%",1330,1418,19849
"1105",2023-01-09,1397,1600712,28.5,26.3,9020,184,"-15.4%",1289,1406,19680
"1106",2023-01-10,1267,1601979,25.8,24.4,8380,170.9,"-20.8%",1197,1354,18962
"1107",2023-01-11,1159,1603138,23.6,22.9,7866,160.4,"-24.1%",1124,1302,18226
"1108",2023-01-12,1077,1604215,22,21.8,7477,152.5,"-25.7%",1068,1253,17542
"1109",2023-01-13,914,1605129,18.6,21.1,7245,147.8,"-25.3%",1035,1210,16943
"1110",2023-01-14,606,1605735,12.4,20.8,7138,145.6,"-24.2%",1020,1182,16555
"1111",2023-01-15,582,1606317,11.9,20.4,7002,142.8,"-24.8%",1000,1165,16312
"1112",2023-01-16,990,1607307,20.2,19.2,6595,134.5,"-26.9%",942,1115,15615
"1113",2023-01-17,1356,1608663,27.7,19.5,6684,136.3,"-20.2%",955,1076,15064
"1114",2023-01-18,1201,1609864,24.5,19.6,6726,137.2,"-14.5%",961,1042,14592
"1115",2023-01-19,1022,1610886,20.8,19.4,6671,136.1,"-10.8%",953,1011,14148
"1116",2023-01-20,1021,1611907,20.8,19.7,6778,138.2,"-6.4%",968,1002,14023
"1117",2023-01-21,632,1612539,12.9,19.8,6804,138.8,"-4.7%",972,996,13942
"1118",2023-01-22,621,1613160,12.7,19.9,6843,139.6,"-2.3%",978,989,13845
"1119",2023-01-23,1359,1614519,27.7,21,7212,147.1,"9.4%",1030,986,13807
"1120",2023-01-24,1185,1615704,24.2,20.5,7041,143.6,"5.3%",1006,980,13725
"1121",2023-01-25,1124,1616828,22.9,20.3,6964,142,"3.5%",995,978,13690
"1122",2023-01-26,985,1617813,20.1,20.2,6927,141.3,"3.8%",990,971,13598
"1123",2023-01-27,993,1618806,20.3,20.1,6899,140.7,"1.8%",986,977,13677
"1124",2023-01-28,648,1619454,13.2,20.1,6915,141,"1.6%",988,980,13719
"1125",2023-01-29,676,1620130,13.8,20.3,6970,142.2,"1.9%",996,987,13813
"1126",2023-01-30,1429,1621559,29.1,20.5,7040,143.6,"-2.4%",1006,1018,14252
"1127",2023-01-31,1117,1622676,22.8,20.3,6972,142.2,"-1%",996,1001,14013
"1128",2023-02-01,1271,1623947,25.9,20.7,7119,145.2,"2.2%",1017,1006,14083
"1129",2023-02-02,1006,1624953,20.5,20.8,7140,145.6,"3.1%",1020,1005,14067
"1130",2023-02-03,757,1625710,15.4,20.1,6904,140.8,"0.1%",986,986,13803
"1131",2023-02-04,585,1626295,11.9,19.9,6841,139.5,"-1.1%",977,983,13756
"1132",2023-02-05,589,1626884,12,19.7,6754,137.7,"-3.1%",965,980,13724
"1133",2023-02-06,1186,1628070,24.2,19,6511,132.8,"-7.5%",930,968,13551
"1134",2023-02-07,1063,1629133,21.7,18.8,6457,131.7,"-7.4%",922,959,13429
"1135",2023-02-08,1128,1630261,23,18.4,6314,128.8,"-11.3%",902,960,13433
"1136",2023-02-09,967,1631228,19.7,18.3,6275,128,"-12.1%",896,958,13415
"1137",2023-02-10,811,1632039,16.5,18.4,6329,129.1,"-8.3%",904,945,13233
"1138",2023-02-11,516,1632555,10.5,18.2,6260,127.7,"-8.5%",894,936,13101
"1139",2023-02-12,535,1633090,10.9,18.1,6206,126.6,"-8.1%",887,926,12960
"1140",2023-02-13,962,1634052,19.6,17.4,5982,122,"-8.1%",855,892,12493
"1141",2023-02-14,788,1634840,16.1,16.6,5707,116.4,"-11.6%",815,869,12164
"1142",2023-02-15,768,1635608,15.7,15.6,5347,109.1,"-15.3%",764,833,11661
"1143",2023-02-16,628,1636236,12.8,14.6,5008,102.1,"-20.2%",715,806,11283
"1144",2023-02-17,558,1636794,11.4,13.9,4755,97,"-24.9%",679,792,11084
"1145",2023-02-18,404,1637198,8.2,13.5,4643,94.7,"-25.8%",663,779,10903
"1146",2023-02-19,360,1637558,7.3,13,4468,91.1,"-28%",638,762,10674
"1147",2023-02-20,509,1638067,10.4,11.7,4015,81.9,"-32.9%",574,714,9997
"1148",2023-02-21,281,1638348,5.7,10.2,3508,71.5,"-38.5%",501,658,9215
